Thu Dec 21 11:35:20 2023    profile_results.prof

         573283 function calls (552838 primitive calls) in 17.231 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      780    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
       30    0.000    0.000    0.001    0.000 cookiejar.py:1353(add_cookie_header)
      970    0.000    0.000    0.000    0.000 computedobject.py:219(name)
      330    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      300    0.000    0.000    0.000    0.000 client.py:1004(_output)
       40    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
       20    0.000    0.000    0.038    0.002 customfunction.py:26(__init__)
       30    0.000    0.000    0.001    0.000 decoder.py:332(decode)
       30    0.000    0.000    0.007    0.000 adapters.py:203(cert_verify)
       60    0.000    0.000    0.002    0.000 structures.py:82(copy)
       30    0.000    0.000    0.005    0.000 model.py:124(request)
       30    0.000    0.000    0.002    0.000 feedparser.py:184(close)
       60    0.000    0.000    0.047    0.001 discovery.py:1431(_set_service_methods)
      120    0.000    0.000    0.001    0.000 parse.py:873(quote_plus)
       80    0.000    0.000    0.003    0.000 serializer.py:226(<listcomp>)
